Problem Name	jobs	Mcs	Seedvalue		LB	UB	CPU Seconds
==================================================================================
flcmax_20_15_3	20	15	1732558531		3354	4437	 69.93
flcmax_20_15_6	20	15	1740217881		3168	4144	  0.09
flcmax_20_15_4	20	15	543992763		2997	3779	 57.86
flcmax_20_15_10	20	15	72917236		3420	4302	 66.68
flcmax_20_15_5	20	15	825413466		3494	4373	 57.54
flcmax_20_20_1	20	20	3505090		3776	4821	159.12
flcmax_20_20_3	20	20	133522409		3758	4779	148.21
flcmax_20_20_9	20	20	504290499		3902	4944	175.74
flcmax_20_20_2	20	20	378666277		3881	4886	202.58
flcmax_20_20_10	20	20	1828548364		3823	4717	164.07
flcmax_30_15_3	30	15	1936165087		4020	5226	148.99
flcmax_30_15_4	30	15	1061369127		4080	5304	163.22
flcmax_30_15_9	30	15	1840119330		4022	5079	108.63
flcmax_30_15_8	30	15	573685653		4490	5605	  0.17
flcmax_30_15_6	30	15	424074829		4184	5147	147.33
flcmax_30_20_3	30	20	1703164209		4806	6183	  0.24
flcmax_30_20_1	30	20	1220969682		4772	6037	470.73
flcmax_30_20_6	30	20	1248138445		5004	6241	394.33
flcmax_30_20_10	30	20	2138036458		4899	6095	320.22
flcmax_30_20_2	30	20	778787377		4757	5822	388.40
flcmax_40_15_5	40	15	1180357694		5560	6986	155.97
flcmax_40_15_9	40	15	987825092		5119	6351	223.64
flcmax_40_15_2	40	15	2065640710		5290	6506	289.02
flcmax_40_15_10	40	15	2026781897		5596	6845	186.49
flcmax_40_15_8	40	15	1658903808		5576	6783	  0.24
flcmax_40_20_3	40	20	540891060		5693	7154	615.49
flcmax_40_20_9	40	20	43674311		5998	7528	645.20
flcmax_40_20_6	40	20	894233988		5990	7469	673.92
flcmax_40_20_7	40	20	203439220		6170	7608	681.51
flcmax_40_20_5	40	20	2146296924		6011	7219	605.76
flcmax_50_15_6	50	15	137867715		6290	7673	313.15
flcmax_50_15_5	50	15	233213300		6355	7679	298.54
flcmax_50_15_1	50	15	890278950		6198	7416	283.88
flcmax_50_15_8	50	15	191456126		6312	7548	307.38
flcmax_50_15_2	50	15	1072794331		6531	7750	353.77
flcmax_50_20_2	50	20	245351478		6740	8838	798.83
flcmax_50_20_1	50	20	671975015		6736	8539	  0.52
flcmax_50_20_7	50	20	94477980		6756	8417	706.38
flcmax_50_20_8	50	20	1125494561		6897	8590	  0.55
flcmax_50_20_4	50	20	210095985		6830	8493	1336.74
