Problem Name	jobs	mcs	T Value	R Value	Seed Value		LB	UB	CPU Seconds
====================================================================================================
fl_20_15_1_1_2	20	15	 0.3	 0.5	1368077814		1823	2833	 65.89
fl_20_15_1_1_3	20	15	 0.3	 0.5	351840013		1501	2322	 51.70
fl_20_15_1_1_8	20	15	 0.3	 0.5	109126395		1534	2370	 65.73
fl_20_15_1_1_7	20	15	 0.3	 0.5	1797977790		1729	2554	 71.04
fl_20_15_1_1_9	20	15	 0.3	 0.5	98055667		1836	2699	 47.10
fl_20_15_1_2_4	20	15	 0.3	 2.5	1402009981		1883	2239	 71.39
fl_20_15_1_2_6	20	15	 0.3	 2.5	99276858		1459	1722	 79.64
fl_20_15_1_2_10	20	15	 0.3	 2.5	2094640064		2161	2526	 68.08
fl_20_15_1_2_5	20	15	 0.3	 2.5	266613217		1871	2165	 56.98
fl_20_15_1_2_2	20	15	 0.3	 2.5	1002968096		2023	2292	 67.89
fl_20_15_2_1_6	20	15	 0.6	 0.5	138835945		2434	3360	 60.87
fl_20_15_2_1_5	20	15	 0.6	 0.5	563967807		2677	3651	 60.75
fl_20_15_2_1_4	20	15	 0.6	 0.5	1329274923		2476	3318	 64.78
fl_20_15_2_1_10	20	15	 0.6	 0.5	1670630965		2553	3347	 80.40
fl_20_15_2_1_9	20	15	 0.6	 0.5	2120195643		2509	3251	 68.18
fl_20_15_2_2_10	20	15	 0.6	 2.5	830962256		2001	3009	 55.68
fl_20_15_2_2_6	20	15	 0.6	 2.5	389000372		2004	2892	 72.20
fl_20_15_2_2_8	20	15	 0.6	 2.5	377072244		1797	2462	 61.19
fl_20_15_2_2_5	20	15	 0.6	 2.5	1454370141		1925	2635	 56.00
fl_20_15_2_2_9	20	15	 0.6	 2.5	818299065		1895	2533	 66.91
fl_20_20_1_1_8	20	20	 0.3	 0.5	405988059		2072	3437	209.84
fl_20_20_1_1_5	20	20	 0.3	 0.5	183210205		2150	3127	195.06
fl_20_20_1_1_1	20	20	 0.3	 0.5	1445813836		2093	2906	178.94
fl_20_20_1_1_9	20	20	 0.3	 0.5	1964395753		2305	3197	267.95
fl_20_20_1_1_4	20	20	 0.3	 0.5	2104948770		2234	3069	166.57
fl_20_20_1_2_10	20	20	 0.3	 2.5	1532068854		2136	2594	179.86
fl_20_20_1_2_9	20	20	 0.3	 2.5	208245934		2791	3388	122.32
