Problem Name	jobs	mcs	Seed Value		LB	UB	CPU Seconds
================================================================================
cscmax_20_15_10	20	15	963246540		2839	3587	142.65
cscmax_20_15_5	20	15	571501185		3066	3776	175.22
cscmax_20_15_8	20	15	1064792308		3121	3791	172.15
cscmax_20_15_7	20	15	500883009		3112	3774	154.52
cscmax_20_15_1	20	15	486487743		2930	3541	160.85
cscmax_20_20_6	20	20	366904335		3425	4463	397.50
cscmax_20_20_4	20	20	193063992		3353	4369	393.78
cscmax_20_20_3	20	20	1708102606		3317	4098	396.61
cscmax_20_20_2	20	20	1111794661		3369	4112	435.94
cscmax_20_20_9	20	20	1759497606		3379	4111	427.43
cscmax_30_15_2	30	15	1085428258		3839	4706	763.89
cscmax_30_15_9	30	15	808544005		4012	4867	611.64
cscmax_30_15_10	30	15	810658329		4108	4959	684.32
cscmax_30_15_5	30	15	142450034		4165	4864	771.27
cscmax_30_15_6	30	15	694627358		4099	4765	791.19
cscmax_30_20_9	30	20	1853446555		4366	5746	3454.89
cscmax_30_20_7	30	20	1696470024		4182	5333	1440.65
cscmax_30_20_3	30	20	852368975		4214	5351	1388.42
cscmax_30_20_6	30	20	1122276408		4199	5312	1373.60
cscmax_30_20_4	30	20	169103059		4259	5332	1281.09
cscmax_40_15_3	40	15	1184095505		4886	5916	2344.76
cscmax_40_15_6	40	15	1032938603		5004	5943	2023.51
cscmax_40_15_8	40	15	2047416508		5049	5963	2093.65
cscmax_40_15_4	40	15	735586133		5130	5932	2058.54
cscmax_40_15_7	40	15	1202629385		5072	5827	2709.10
cscmax_40_20_10	40	20	295809381		5357	6596	4335.98
cscmax_40_20_6	40	20	997471796		5484	6649	4023.81
cscmax_40_20_8	40	20	1524255499		5423	6540	4438.79
cscmax_40_20_5	40	20	229789972		5419	6525	4205.68
cscmax_40_20_9	40	20	1780414345		5492	6601	4386.84
cscmax_50_15_8	50	15	1936600566		6050	7124	5940.03
cscmax_50_15_6	50	15	567182173		6223	7291	5663.12
cscmax_50_15_10	50	15	363888850		5935	6934	6247.13
cscmax_50_15_4	50	15	1103051921		6015	6932	14896.88
cscmax_50_15_3	50	15	2084553596		6010	6909	6648.01
cscmax_50_20_1	50	20	1215157252		6329	7939	10861.47
cscmax_50_20_4	50	20	718365005		6399	7807	9721.82
cscmax_50_20_3	50	20	499659734		6508	7899	9424.48
cscmax_50_20_7	50	20	1315007823		6593	7841	8636.46
cscmax_50_20_9	50	20	556673305		6435	7639	11828.98
