Problem Name	jobs	mcs	T Value	R Value	Seed Value		LB	UB	CPU Seconds
====================================================================================================
cr_20_15_1_1_8	20	15	 0.3	 0.5	1930447630		1434	2159	164.81
cr_20_15_1_1_3	20	15	 0.3	 0.5	1272674256		1619	2293	167.95
cr_20_15_1_1_1	20	15	 0.3	 0.5	1678430072		1558	2126	248.87
cr_20_15_1_1_5	20	15	 0.3	 0.5	1518346293		1522	2049	191.92
cr_20_15_1_1_9	20	15	 0.3	 0.5	1912378602		1693	2224	178.55
cr_20_15_1_2_1	20	15	 0.3	 2.5	1526802649		1627	2125	180.86
cr_20_15_1_2_9	20	15	 0.3	 2.5	395155258		1579	2016	188.40
cr_20_15_1_2_10	20	15	 0.3	 2.5	1070418898		1759	2213	194.78
cr_20_15_1_2_7	20	15	 0.3	 2.5	939996790		1763	2193	171.93
cr_20_15_1_2_3	20	15	 0.3	 2.5	98309347		1788	2199	169.38
cr_20_15_2_1_6	20	15	 0.6	 0.5	1962695863		2075	2761	173.25
cr_20_15_2_1_7	20	15	 0.6	 0.5	1537248797		2397	3098	148.07
cr_20_15_2_1_3	20	15	 0.6	 0.5	786490805		2033	2612	207.49
cr_20_15_2_1_4	20	15	 0.6	 0.5	934515634		2298	2914	178.54
cr_20_15_2_1_10	20	15	 0.6	 0.5	191632675		2224	2770	185.46
cr_20_15_2_2_2	20	15	 0.6	 2.5	570525556		1989	2745	162.66
cr_20_15_2_2_1	20	15	 0.6	 2.5	643728106		1880	2546	193.39
cr_20_15_2_2_9	20	15	 0.6	 2.5	1606765208		2000	2668	174.47
cr_20_15_2_2_5	20	15	 0.6	 2.5	1359374280		1712	2262	166.65
cr_20_15_2_2_6	20	15	 0.6	 2.5	308173121		1982	2581	207.62
cr_20_20_1_1_10	20	20	 0.3	 0.5	1019133898		1759	2797	484.11
cr_20_20_1_1_5	20	20	 0.3	 0.5	1198493829		1895	2879	475.85
cr_20_20_1_1_3	20	20	 0.3	 0.5	2076075294		1911	2894	404.24
cr_20_20_1_1_9	20	20	 0.3	 0.5	1823138514		1770	2643	423.99
cr_20_20_1_1_6	20	20	 0.3	 0.5	115779686		2088	2948	443.64
cr_20_20_1_2_1	20	20	 0.3	 2.5	811887870		2101	2723	388.60
cr_20_20_1_2_7	20	20	 0.3	 2.5	492978944		2486	3219	414.75
cr_20_20_1_2_8	20	20	 0.3	 2.5	70701019		2656	3427	448.44
cr_20_20_1_2_4	20	20	 0.3	 2.5	1797522436		2275	2874	408.93
cr_20_20_1_2_5	20	20	 0.3	 2.5	474304215		2484	2979	281.85
cr_20_20_2_1_8	20	20	 0.6	 0.5	1672948584		2758	3950	436.99
cr_20_20_2_1_9	20	20	 0.6	 0.5	92656797		2504	3489	437.31
cr_20_20_2_1_1	20	20	 0.6	 0.5	1588142555		2550	3538	403.95
cr_20_20_2_1_7	20	20	 0.6	 0.5	1862239536		2426	3304	449.85
cr_20_20_2_1_6	20	20	 0.6	 0.5	888432186		2431	3244	406.90
cr_20_20_2_2_2	20	20	 0.6	 2.5	409509813		2327	3347	431.06
cr_20_20_2_2_3	20	20	 0.6	 2.5	1720376066		2373	3411	402.76
cr_20_20_2_2_8	20	20	 0.6	 2.5	644993117		2289	3245	432.30
cr_20_20_2_2_4	20	20	 0.6	 2.5	1230141376		2542	3586	389.18
cr_20_20_2_2_1	20	20	 0.6	 2.5	736968104		2535	3512	431.02
cr_30_15_1_1_2	30	15	 0.3	 0.5	1534938489		1570	2413	606.28
cr_30_15_1_1_3	30	15	 0.3	 0.5	715479656		1549	2335	703.64
cr_30_15_1_1_8	30	15	 0.3	 0.5	1535345402		1544	2251	870.31
cr_30_15_1_1_1	30	15	 0.3	 0.5	964980672		1644	2365	832.64
cr_30_15_1_1_6	30	15	 0.3	 0.5	1941625504		1764	2420	730.79
cr_30_15_1_2_6	30	15	 0.3	 2.5	1323010933		1060	1634	646.39
cr_30_15_1_2_9	30	15	 0.3	 2.5	1913803826		1731	2331	678.01
cr_30_15_1_2_5	30	15	 0.3	 2.5	2007163068		1873	2474	629.05
cr_30_15_1_2_1	30	15	 0.3	 2.5	1178790436		1587	1994	690.08
cr_30_15_1_2_8	30	15	 0.3	 2.5	2121138989		2264	2751	564.67
cr_30_15_2_1_5	30	15	 0.6	 0.5	701586880		2985	3700	953.83
cr_30_15_2_1_8	30	15	 0.6	 0.5	871205552		2669	3305	782.92
cr_30_15_2_1_7	30	15	 0.6	 0.5	2017798458		2769	3414	661.93
cr_30_15_2_1_3	30	15	 0.6	 0.5	846379151		2827	3476	682.85
cr_30_15_2_1_6	30	15	 0.6	 0.5	254261272		2972	3639	735.13
cr_30_15_2_2_6	30	15	 0.6	 2.5	949350886		2067	3043	713.88
