Problem Name	jobs	mcs	Seed Value		LB	UB	CPU Seconds
================================================================================
rcmax_20_15_4	20	15	155125852		2363	2850	145.57
rcmax_20_15_10	20	15	2029877925		2452	2927	167.58
rcmax_20_15_5	20	15	196931796		2571	3014	157.13
rcmax_20_15_8	20	15	2109450727		2486	2839	194.61
rcmax_20_15_1	20	15	1017664806		2654	2987	154.33
rcmax_20_20_6	20	20	704263516		2834	3564	359.95
rcmax_20_20_4	20	20	658766149		2677	3319	304.57
rcmax_20_20_7	20	20	1918985685		2901	3549	349.87
rcmax_20_20_8	20	20	263171901		2739	3300	353.15
rcmax_20_20_5	20	20	1630638936		2716	3217	354.84
rcmax_30_15_9	30	15	311313093		3395	3772	405.22
rcmax_30_15_10	30	15	316280323		3481	3780	620.23
rcmax_30_15_5	30	15	1237221727		3681	3972	511.32
rcmax_30_15_4	30	15	982174120		3394	3611	365.99
rcmax_30_15_1	30	15	899442265		3332	3531	431.17
rcmax_30_20_7	30	20	1970680013		3726	4218	1092.28
rcmax_30_20_10	30	20	491806903		3697	4167	1659.57
rcmax_30_20_9	30	20	7335742		3844	4321	942.64
rcmax_30_20_8	30	20	554421187		3650	4094	986.75
rcmax_30_20_2	30	20	1227925003		3604	4035	968.38
rcmax_40_15_5	40	15	180026511		4380	4480	1004.71
rcmax_40_15_9	40	15	86633815		4725	4769	436.15
rcmax_40_15_10	40	15	800808272		4668	4695	417.36
rcmax_40_15_8	40	15	2104225727		4648	4667	823.16
rcmax_40_15_2	40	15	1193746195		4164	4180	460.39
rcmax_40_20_1	40	20	1510794207		4647	5026	2310.13
rcmax_40_20_3	40	20	1656193480		4848	5221	1897.43
rcmax_40_20_6	40	20	1020622462		4692	5041	2242.63
rcmax_40_20_2	40	20	425341562		4691	5023	2590.83
rcmax_40_20_7	40	20	1111362916		4732	5063	2663.91
rcmax_50_15_3	50	15	1140902718		5640	5718	1311.91
rcmax_50_15_1	50	15	319220731		5927	5927	154.51
rcmax_50_15_2	50	15	1200567745		5728	5728	393.01
rcmax_50_15_4	50	15	408890368		5385	5385	353.33
rcmax_50_15_5	50	15	668339743		5635	5635	382.04
rcmax_50_20_2	50	20	1353154750		5621	5991	4672.59
rcmax_50_20_7	50	20	1756084517		5851	6235	6391.88
rcmax_50_20_6	50	20	444307538		5713	6062	5704.31
rcmax_50_20_9	50	20	618487528		5747	6006	3945.76
rcmax_50_20_3	50	20	1509456066		5577	5827	5588.63
