Problem Name	jobs	mcs	T Value	R Value	Seed Value		LB	UB	CPU Seconds
====================================================================================================
r_20_15_1_1_6	20	15	 0.3	 0.5	190293006		1027	1448	157.16
r_20_15_1_1_8	20	15	 0.3	 0.5	2107609532		1127	1552	144.62
r_20_15_1_1_4	20	15	 0.3	 0.5	922061768		1160	1492	155.38
r_20_15_1_1_2	20	15	 0.3	 0.5	1831416702		1140	1464	142.71
r_20_15_1_1_3	20	15	 0.3	 0.5	735079475		1182	1501	157.18
r_20_15_1_2_1	20	15	 0.3	 2.5	153265088		1769	2090	131.78
r_20_15_1_2_10	20	15	 0.3	 2.5	1879542071		1775	2092	122.70
r_20_15_1_2_9	20	15	 0.3	 2.5	1075749376		1956	2246	155.13
r_20_15_1_2_5	20	15	 0.3	 2.5	194205242		1925	2181	152.14
r_20_15_1_2_8	20	15	 0.3	 2.5	149816848		1599	1785	136.74
r_20_15_2_1_7	20	15	 0.6	 0.5	1030082083		1575	1957	162.21
r_20_15_2_1_3	20	15	 0.6	 0.5	1893262471		1727	2100	129.66
r_20_15_2_1_1	20	15	 0.6	 0.5	1304582361		1785	2165	158.20
r_20_15_2_1_5	20	15	 0.6	 0.5	126351139		1521	1839	144.10
r_20_15_2_1_9	20	15	 0.6	 0.5	1907418745		1858	2143	117.69
r_20_15_2_2_10	20	15	 0.6	 2.5	906850751		1282	1682	149.01
r_20_15_2_2_2	20	15	 0.6	 2.5	1542751885		1688	2174	160.09
r_20_15_2_2_3	20	15	 0.6	 2.5	1097362288		1894	2381	145.75
r_20_15_2_2_7	20	15	 0.6	 2.5	226063124		1596	1943	180.24
r_20_15_2_2_4	20	15	 0.6	 2.5	1092238517		1663	2018	143.08
r_20_20_1_1_7	20	20	 0.3	 0.5	542026049		1391	2013	399.44
r_20_20_1_1_10	20	20	 0.3	 0.5	1687823036		1182	1708	344.75
r_20_20_1_1_6	20	20	 0.3	 0.5	1946596784		1366	1962	369.32
r_20_20_1_1_3	20	20	 0.3	 0.5	1242215900		1569	2248	339.71
r_20_20_1_1_4	20	20	 0.3	 0.5	1731557923		1226	1753	366.57
r_20_20_1_2_9	20	20	 0.3	 2.5	989282534		2147	2631	280.95
r_20_20_1_2_6	20	20	 0.3	 2.5	1671484328		2376	2842	337.54
r_20_20_1_2_2	20	20	 0.3	 2.5	1669390080		2106	2465	335.61
r_20_20_1_2_4	20	20	 0.3	 2.5	1461104220		2469	2835	313.39
r_20_20_1_2_8	20	20	 0.3	 2.5	1759743972		2378	2712	274.19
r_20_20_2_1_2	20	20	 0.6	 0.5	478561035		1776	2638	391.91
r_20_20_2_1_6	20	20	 0.6	 0.5	186744		1868	2647	415.14
r_20_20_2_1_4	20	20	 0.6	 0.5	1115382749		1845	2535	355.74
r_20_20_2_1_8	20	20	 0.6	 0.5	1803026171		1927	2627	395.08
r_20_20_2_1_7	20	20	 0.6	 0.5	1842035719		1947	2640	368.51
r_20_20_2_2_1	20	20	 0.6	 2.5	794447191		1982	2617	344.77
r_20_20_2_2_7	20	20	 0.6	 2.5	1961172060		2419	3118	400.60
r_20_20_2_2_6	20	20	 0.6	 2.5	1651091017		2401	3029	387.91
r_20_20_2_2_3	20	20	 0.6	 2.5	429027408		2294	2851	383.47
r_20_20_2_2_5	20	20	 0.6	 2.5	1439201727		2518	2966	389.60
r_30_15_1_1_10	30	15	 0.3	 0.5	2139093424		1185	1379	400.74
r_30_15_1_1_7	30	15	 0.3	 0.5	694767315		1263	1459	314.52
r_30_15_1_1_6	30	15	 0.3	 0.5	2114097724		1255	1441	394.00
r_30_15_1_1_5	30	15	 0.3	 0.5	1489887589		1205	1360	254.63
r_30_15_1_1_9	30	15	 0.3	 0.5	708216079		1320	1483	393.64
r_30_15_1_2_10	30	15	 0.3	 2.5	1535859801		2240	2810	630.90
r_30_15_1_2_2	30	15	 0.3	 2.5	971217333		2436	3029	648.13
r_30_15_1_2_3	30	15	 0.3	 2.5	1603835688		1935	2311	610.51
r_30_15_1_2_5	30	15	 0.3	 2.5	1994905588		2475	2940	605.40
r_30_15_1_2_8	30	15	 0.3	 2.5	408373246		2169	2531	492.87
r_30_15_2_1_8	30	15	 0.6	 0.5	882162182		2252	2750	521.27
r_30_15_2_1_1	30	15	 0.6	 0.5	330322397		2042	2347	537.08
r_30_15_2_1_3	30	15	 0.6	 0.5	1525632613		2189	2470	483.85
r_30_15_2_1_9	30	15	 0.6	 0.5	2049750148		2224	2496	472.14
r_30_15_2_1_4	30	15	 0.6	 0.5	1488906693		2401	2666	447.36
r_30_15_2_2_6	30	15	 0.6	 2.5	1537576754		1734	2433	570.52
r_30_15_2_2_3	30	15	 0.6	 2.5	321090778		2068	2678	661.05
r_30_15_2_2_5	30	15	 0.6	 2.5	2003616863		1960	2515	671.67
r_30_15_2_2_9	30	15	 0.6	 2.5	155643728		1922	2380	516.33
r_30_15_2_2_7	30	15	 0.6	 2.5	644435582		2075	2510	456.20
r_30_20_1_1_3	30	20	 0.3	 0.5	663437517		1268	1816	1238.13
r_30_20_1_1_6	30	20	 0.3	 0.5	1166835152		1412	1952	1165.59
r_30_20_1_1_2	30	20	 0.3	 0.5	1680768460		1575	2173	1209.53
r_30_20_1_1_9	30	20	 0.3	 0.5	2031719759		1710	2237	1072.78
r_30_20_1_1_1	30	20	 0.3	 0.5	427461519		1611	2094	1239.50
r_30_20_1_2_9	30	20	 0.3	 2.5	655777117		2314	3260	1162.27
r_30_20_1_2_8	30	20	 0.3	 2.5	1526128695		2713	3577	1132.94
r_30_20_1_2_7	30	20	 0.3	 2.5	867589661		2817	3601	1096.29
r_30_20_1_2_2	30	20	 0.3	 2.5	313797510		2386	3021	1129.85
r_30_20_1_2_5	30	20	 0.3	 2.5	595683123		2292	2896	  0.26
r_30_20_2_1_2	30	20	 0.6	 0.5	1371474776		2178	2953	1263.60
r_30_20_2_1_3	30	20	 0.6	 0.5	1695285987		2298	3032	1048.47
r_30_20_2_1_6	30	20	 0.6	 0.5	1334072472		2461	3116	1106.10
r_30_20_2_1_10	30	20	 0.6	 0.5	134390039		2496	3074	1025.43
r_30_20_2_1_7	30	20	 0.6	 0.5	1669343880		2562	3104	901.98
r_30_20_2_2_4	30	20	 0.6	 2.5	1556008225		2061	2959	1370.25
r_30_20_2_2_2	30	20	 0.6	 2.5	2142093541		2254	3106	1181.17
r_30_20_2_2_5	30	20	 0.6	 2.5	1445435020		2485	3409	1139.13
r_30_20_2_2_10	30	20	 0.6	 2.5	2043419902		2570	3330	1045.73
r_30_20_2_2_8	30	20	 0.6	 2.5	2109234883		2412	3088	1179.19
r_40_15_1_1_3	40	15	 0.3	 0.5	229105202		1191	1431	1199.36
r_40_15_1_1_8	40	15	 0.3	 0.5	1005807755		1533	1787	1155.04
r_40_15_1_1_1	40	15	 0.3	 0.5	2016326326		1299	1468	805.66
r_40_15_1_1_4	40	15	 0.3	 0.5	349469587		1542	1648	1011.22
r_40_15_1_1_10	40	15	 0.3	 0.5	2139837687		1460	1527	456.48
r_40_15_1_2_3	40	15	 0.3	 2.5	2034240591		1563	2397	1509.29
r_40_15_1_2_10	40	15	 0.3	 2.5	1994829350		1669	2459	2029.52
r_40_15_1_2_5	40	15	 0.3	 2.5	2006832439		1545	2053	1792.10
r_40_15_1_2_6	40	15	 0.3	 2.5	712198851		1695	2191	2168.13
r_40_15_1_2_7	40	15	 0.3	 2.5	2108841769		1936	2420	1720.35
r_40_15_2_1_9	40	15	 0.6	 0.5	1094618308		2893	3093	1180.44
r_40_15_2_1_2	40	15	 0.6	 0.5	1528162080		2815	2894	927.60
r_40_15_2_1_10	40	15	 0.6	 0.5	1809834960		3048	3120	641.64
r_40_15_2_1_6	40	15	 0.6	 0.5	1548458476		2818	2875	831.43
r_40_15_2_1_8	40	15	 0.6	 0.5	353530625		2878	2924	841.44
r_40_15_2_2_2	40	15	 0.6	 2.5	1360011295		2125	3042	1573.70
r_40_15_2_2_1	40	15	 0.6	 2.5	1806810424		1836	2617	1855.38
r_40_15_2_2_10	40	15	 0.6	 2.5	139958960		1896	2539	2307.80
r_40_15_2_2_6	40	15	 0.6	 2.5	1545915174		2119	2767	1577.02
r_40_15_2_2_3	40	15	 0.6	 2.5	1272717673		2038	2641	1708.56
r_40_20_1_1_1	40	20	 0.3	 0.5	1369051862		1395	2058	2800.11
r_40_20_1_1_4	40	20	 0.3	 0.5	1046169358		1597	2337	2940.18
r_40_20_1_1_2	40	20	 0.3	 0.5	220110557		1640	2143	2526.27
r_40_20_1_1_10	40	20	 0.3	 0.5	252931687		1411	1834	2601.92
r_40_20_1_1_6	40	20	 0.3	 0.5	1738835002		1835	2212	2459.68
r_40_20_1_2_4	40	20	 0.3	 2.5	1978091991		2610	3444	  3.61
r_40_20_1_2_3	40	20	 0.3	 2.5	1507228322		2964	3862	2280.16
r_40_20_1_2_2	40	20	 0.3	 2.5	1997514152		2798	3565	3257.82
r_40_20_1_2_9	40	20	 0.3	 2.5	490781423		3059	3895	2672.14
r_40_20_1_2_8	40	20	 0.3	 2.5	1350842884		2441	3064	2336.41
r_40_20_2_1_1	40	20	 0.6	 0.5	1035272259		2827	3430	2773.83
r_40_20_2_1_8	40	20	 0.6	 0.5	1593287066		3113	3691	2822.61
r_40_20_2_1_4	40	20	 0.6	 0.5	1733959124		2843	3366	2448.61
r_40_20_2_1_3	40	20	 0.6	 0.5	986304957		3025	3572	2383.68
r_40_20_2_1_5	40	20	 0.6	 0.5	2007247244		3129	3535	1977.66
r_40_20_2_2_5	40	20	 0.6	 2.5	1298858157		2687	3985	4245.07
r_40_20_2_2_8	40	20	 0.6	 2.5	723104244		2234	3154	  0.38
r_40_20_2_2_7	40	20	 0.6	 2.5	639002171		2479	3469	  0.39
r_40_20_2_2_1	40	20	 0.6	 2.5	1632159552		2643	3560	5716.90
r_40_20_2_2_9	40	20	 0.6	 2.5	1818470511		2673	3540	3044.33
r_50_15_1_1_7	50	15	 0.3	 0.5	210926425		1050	1419	2822.33
r_50_15_1_1_5	50	15	 0.3	 0.5	1644484691		1418	1545	1192.73
r_50_15_1_1_8	50	15	 0.3	 0.5	707417697		1957	2042	1331.14
r_50_15_1_1_4	50	15	 0.3	 0.5	1584261978		1707	1764	1527.85
r_50_15_1_1_9	50	15	 0.3	 0.5	1389230225		1757	1804	1604.56
r_50_15_1_2_8	50	15	 0.3	 2.5	1937615637		2217	3024	4942.61
r_50_15_1_2_1	50	15	 0.3	 2.5	1729118085		2284	3102	4618.52
r_50_15_1_2_7	50	15	 0.3	 2.5	1119822949		2192	2834	5713.78
r_50_15_1_2_4	50	15	 0.3	 2.5	1496756896		2085	2692	4211.64
r_50_15_1_2_2	50	15	 0.3	 2.5	631187110		2137	2661	4094.71
r_50_15_2_1_5	50	15	 0.6	 0.5	973741295		3216	3492	2237.76
r_50_15_2_1_8	50	15	 0.6	 0.5	1185102121		3391	3525	1723.28
r_50_15_2_1_9	50	15	 0.6	 0.5	436078839		3396	3466	1526.02
r_50_15_2_1_2	50	15	 0.6	 0.5	939640527		3181	3220	1187.95
r_50_15_2_1_4	50	15	 0.6	 0.5	1064055500		3277	3316	1556.39
r_50_15_2_2_9	50	15	 0.6	 2.5	1936586975		2323	3338	3815.74
r_50_15_2_2_7	50	15	 0.6	 2.5	37169961		2464	3415	  0.35
r_50_15_2_2_5	50	15	 0.6	 2.5	190093798		2381	3186	  0.35
r_50_15_2_2_10	50	15	 0.6	 2.5	514618980		2345	3130	4026.75
r_50_15_2_2_6	50	15	 0.6	 2.5	309206157		2486	3307	5607.75
r_50_20_1_1_5	50	20	 0.3	 0.5	1377260959		1591	2181	5856.95
r_50_20_1_1_3	50	20	 0.3	 0.5	1796360533		1746	2390	6401.94
r_50_20_1_1_2	50	20	 0.3	 0.5	605098801		1794	2355	4869.77
r_50_20_1_1_6	50	20	 0.3	 0.5	619313803		1845	2219	4887.61
r_50_20_1_1_4	50	20	 0.3	 0.5	1247194805		1786	2142	4611.90
r_50_20_1_2_6	50	20	 0.3	 2.5	520722287		2363	3455	  0.59
r_50_20_1_2_2	50	20	 0.3	 2.5	1021256212		2440	3385	  0.60
r_50_20_1_2_10	50	20	 0.3	 2.5	461094603		2824	3898	9540.06
r_50_20_1_2_8	50	20	 0.3	 2.5	732975989		2918	3852	  0.55
r_50_20_1_2_5	50	20	 0.3	 2.5	610963222		3205	4091	6795.29
r_50_20_2_1_2	50	20	 0.6	 0.5	2055680980		3189	3788	7067.88
r_50_20_2_1_5	50	20	 0.6	 0.5	1622340656		3419	3875	7102.48
r_50_20_2_1_10	50	20	 0.6	 0.5	200779741		3407	3789	4632.08
r_50_20_2_1_7	50	20	 0.6	 0.5	1674745797		3642	3971	4139.92
r_50_20_2_1_4	50	20	 0.6	 0.5	589208559		3527	3758	4570.19
r_50_20_2_2_10	50	20	 0.6	 2.5	269946156		2628	4042	5504.36
r_50_20_2_2_5	50	20	 0.6	 2.5	1826442368		2774	4184	  0.60
r_50_20_2_2_1	50	20	 0.6	 2.5	1604414086		2500	3712	7790.81
r_50_20_2_2_8	50	20	 0.6	 2.5	1484910930		2472	3649	7573.01
r_50_20_2_2_4	50	20	 0.6	 2.5	842300380		2551	3762	5752.29
